Divi,,Type,,,,,,,,
24-uurs zuurgraadmeting slokdarm,Maag-darm-leverziekten,-,,,,,,,,
2e intakegesprek voor IVF- of ICSI behandeling,Gynaecologie en Verloskunde,-,,,,,,,,
3 goede vragen aan uw arts en samen beslissen,Algemeen,-,,,,,,,,
50% belast lopen met krukken,Fysiotherapie,-,,,,,,,,
Aambeien,Chirurgie,-,,,,,,,,
Aantippend belast lopen met krukken,Fysiotherapie,-,,,,,,,,
Abcesdrain,,-,,,,,,,,
Ablatiebehandeling bij boezemfibrilleren,Cardiologie,-,,,,,,,,
Ademhalingsoefeningen,Fysiotherapie,-,,,,,,,,
Ademhalingsondersteuning bij pasgeborenen,Neonatologie,-,,,,,,,,
Advance Care Planning,Longziekten,-,,,,,,,,
Afnemen biopt van de keel,KNO,-,,,,,,,,
Afnemen van een hersenbiopt,Neurologie,-,,,,,,,,
Airvo bij tracheacanule en tracheostoma,Intensive Care,Longziekten,,,,,,,,
Algehele anesthesie,Anesthesiologie en pijnbestrijding,-,,,,,,,,
Allergietest met plakproef,Dermatologie,-,,,,,,,,
Allergietest met prikproef,Dermatologie,-,,,,,,,,
Als mantelzorger voor jezelf zorgen,Algemeen,-,,,,,,,,
Anamnese,Algemeen,-,,,,,,,,
Angiografie,Cardiologie,-,,,,,,,,
Antibiotica-allergie: Ja of nee?,Interne Geneeskunde,-,,,,,,,,
Antistollingsmedicijnen,Algemeen,-,,,,,,,,
Appels plukken (liggend),Fysiotherapie,-,,,,,,,,
Appels plukken (zittend),Fysiotherapie,-,,,,,,,,
Arm- en schouderoefeningen,Fysiotherapie,-,,,,,,,,
Armen zijwaarts heffen (staand),Fysiotherapie,-,,,,,,,,
Armen zijwaarts heffen (zittend),Fysiotherapie,-,,,,,,,,
Arteriepunctie,Longziekten,-,,,,,,,,
Artrose,,-,,,,,,,,
Artrose in de hand of pols,,-,,,,,,,,
Astma,Longziekten,-,,,,,,,,
Astma Actieplan,,Partner Divi,,,,,,,,
Atopisch eczeem,Dermatologie,-,,,,,,,,
Audiometrie,KNO,-,,,,,,,,
Autologe stamceltransplantatie,Interne Geneeskunde,Oncologie,,,,,,,,
Autonoom Functie Onderzoek (AFO),Neurologie,-,,,,,,,,
Avelumab,,Partner Divi,,,,,,,,
AYA-zorg,Borstkanker,Oncologie,,,,,,,,
Baarmoederkanker,Gynaecologie en Verloskunde,Oncologie,,,,,,,,
Back At Work After Surgery (BAAS),Algemeen,-,,,,,,,,
Barrett-slokdarm (Barrett oesophagus),Maag-darm-leverziekten,-,,,,,,,,
Beademing in buikligging,Intensive Care,-,,,,,,,,
Beademing met een beademingsapparaat,Intensive Care,-,,,,,,,,
Been gestrekt naar buiten brengen,Fysiotherapie,-,,,,,,,,
Been naar achter strekken,Fysiotherapie,-,,,,,,,,
Beenmergpunctie,Interne Geneeskunde,Oncologie,,,,,,,,
Behandelbeperkingen,Algemeen,Longziekten,,,,,,,,
Behandelbeperkingen - Wel of geen beademing?,Intensive Care,-,,,,,,,,
Behandeling bij dementie,,-,,,,,,,,
Behandeling met biologicals,Dermatologie,Longziekten,Maag-darm-leverziekten,,,,,,,
Behandeling met Calquence,,Partner Divi,,,,,,,,
Behandeling met een niersteenvergruizer,,-,,,,,,,,
Behandeling met Intravitreale Injecties (IVI),Oogheelkunde,-,,,,,,,,
Behandeling met ribociclib,,Partner Divi,,,,,,,,
Behandeling van heupdysplasie bij kinderen,,-,,,,,,,,
Behandeling van nierschade,Interne Geneeskunde,-,,,,,,,,
Behandeling van spataderen met VNUS,Dermatologie,-,,,,,,,,
Behandelmogelijkheden bij diep veneuze trombose,Interne Geneeskunde,-,,,,,,,,
Behandelmogelijkheden bij endeldarmkanker,Chirurgie,Oncologie,,,,,,,,
Behandelmogelijkheden bij longkanker,,Partner Divi,,,,,,,,
Behandelprogramma van het CON,Chirurgie,-,,,,,,,,
Behandeltraject Jodiumtherapie,Interne Geneeskunde,-,,,,,,,,
Behandelwegen bij borstkanker,Borstkanker,Oncologie,,,,,,,,
Belang van bewegen bij axiale spondyloartritis,,-,,,,,,,,
Belang van schoon werken bij wondverzorging,Infectieziektebestrijding,-,,,,,,,,
Belast lopen met krukken,Fysiotherapie,-,,,,,,,,
Benen heffen,Fysiotherapie,-,,,,,,,,
BENU Hulpmiddelenzorg,,Partner Divi,,,,,,,,
Besnijdenis (Circumcisie),Chirurgie,-,,,,,,,,
Beter in beweging,Fysiotherapie,-,,,,,,,,
Bewegen tijdens de opname,Algemeen,-,,,,,,,,
Bezoek aan de spoedeisende hulp,,-,,,,,,,,
BIC Second opinion consult,Longziekten,-,,,,,,,,
Bijwerkingen radiotherapie bij prostaatkanker,Oncologie,-,,,,,,,,
Billen samenknijpen,Fysiotherapie,-,,,,,,,,
Biopt bij vermoeden huidkanker,Dermatologie,Oncologie,,,,,,,,
Bloedonderzoek,Algemeen,-,,,,,,,,
Bloedonderzoek voor kinderen,Kindergeneeskunde,-,,,,,,,,
Bloedtransfusie,Cardiologie,Interne Geneeskunde,Oncologie,,,,,,,
Bodybox,Longziekten,-,,,,,,,,
Borstamputatie,Borstkanker,-,,,,,,,,
Borstbestraling met ingehouden adem,Oncologie,-,,,,,,,,
Borstkanker,Borstkanker,Oncologie,,,,,,,,
Borstreconstructie met een prothese na huidsparende amputatie van de borst(en),Borstkanker,-,,,,,,,,
Borstreconstructie met lichaamseigen weefsel (DIEP-lap),Borstkanker,-,,,,,,,,
Borstsparende operatie,Borstkanker,Oncologie,,,,,,,,
Botbreuk,,-,,,,,,,,
Botontkalking,Interne Geneeskunde,-,,,,,,,,
Botscan (skeletscintigrafie),Orthopedie,-,,,,,,,,
Botuline toxine,Neurologie,-,,,,,,,,
Bronchiolitis,Kindergeneeskunde,-,,,,,,,,
Bronchoscopie,Longziekten,-,,,,,,,,
Bruggetje,Fysiotherapie,-,,,,,,,,
Buikslagaderoperatie bij aneurysma,Chirurgie,-,,,,,,,,
Buikvetbiopt,Interne Geneeskunde,-,,,,,,,,
Buikwandpijnsyndroom (ACNES),,-,,,,,,,,
Buisjes plaatsen,KNO,-,,,,,,,,
